x;y
-10;-1.1917935
-9.99;-1.1841751
-9.98;-1.1767704
-9.97;-1.1695740
-9.96;-1.1625806
-9.95;-1.1557853
-9.94;-1.1491831
-9.93;-1.1427696
-9.92;-1.1365403
-9.91;-1.1304910
-9.90;-1.1246176
-9.89;-1.1189162
-9.88;-1.1133831
-9.87;-1.1080147
-9.86;-1.1028076
-9.85;-1.0977585
-9.84;-1.0928642
-9.83;-1.0881217
-9.82;-1.0835280
-9.81;-1.0790804
-9.80;-1.0747762
-9.79;-1.0706128
-9.78;-1.0665878
-9.77;-1.0626989
-9.76;-1.0589437
-9.75;-1.0553201
-9.74;-1.0518260
-9.73;-1.0484595
-9.72;-1.0452187
-9.71;-1.0421017
-9.70;-1.0391069
-9.69;-1.0362326
-9.68;-1.0334772
-9.67;-1.0308392
-9.66;-1.0283172
-9.65;-1.0259098
-9.64;-1.0236158
-9.63;-1.0214340
-9.62;-1.0193632
-9.61;-1.0174023
-9.60;-1.0155503
-9.59;-1.0138062
-9.58;-1.0121691
-9.57;-1.0106382
-9.56;-1.0092127
-9.55;-1.0078918
-9.54;-1.0066750
-9.53;-1.0055615
-9.52;-1.0045508
-9.51;-1.0036424
-9.50;-1.0028359
-9.49;-1.0021307
-9.48;-1.0015267
-9.47;-1.0010234
-9.46;-1.0006206
-9.45;-1.0003182
-9.44;-1.0001159
-9.43;-1.0000136
-9.42;-1.0000114
-9.41;-1.0001092
-9.40;-1.0003071
-9.39;-1.0006051
-9.38;-1.0010034
-9.37;-1.0015022
-9.36;-1.0021018
-9.35;-1.0028024
-9.34;-1.0036044
-9.33;-1.0045083
-9.32;-1.0055144
-9.31;-1.0066233
-9.30;-1.0078356
-9.29;-1.0091518
-9.28;-1.0105726
-9.27;-1.0120988
-9.26;-1.0137312
-9.25;-1.0154705
-9.24;-1.0173177
-9.23;-1.0192738
-9.22;-1.0213397
-9.21;-1.0235166
-9.20;-1.0258056
-9.19;-1.0282078
-9.18;-1.0307247
-9.17;-1.0333575
-9.16;-1.0361077
-9.15;-1.0389767
-9.14;-1.0419662
-9.13;-1.0450777
-9.12;-1.0483130
-9.11;-1.0516738
-9.10;-1.0551622
-9.09;-1.0587800
-9.08;-1.0625293
-9.07;-1.0664123
-9.06;-1.0704312
-9.05;-1.0745883
-9.04;-1.0788862
-9.03;-1.0833274
-9.02;-1.0879145
-9.01;-1.0926504
-9.00;-1.0975379
-8.99;-1.1025801
-8.98;-1.1077801
-8.97;-1.1131413
-8.96;-1.1186669
-8.95;-1.1243608
-8.94;-1.1302265
-8.93;-1.1362679
-8.92;-1.1424891
-8.91;-1.1488943
-8.90;-1.1554880
-8.89;-1.1622747
-8.88;-1.1692592
-8.87;-1.1764465
-8.86;-1.1838418
-8.85;-1.1914506
-8.84;-1.1992785
-8.83;-1.2073315
-8.82;-1.2156158
-8.81;-1.2241377
-8.80;-1.2329042
-8.79;-1.2419223
-8.78;-1.2511992
-8.77;-1.2607428
-8.76;-1.2705612
-8.75;-1.2806628
-8.74;-1.2910564
-8.73;-1.3017513
-8.72;-1.3127573
-8.71;-1.3240845
-8.70;-1.3357436
-8.69;-1.3477459
-8.68;-1.3601030
-8.67;-1.3728274
-8.66;-1.3859320
-8.65;-1.3994305
-8.64;-1.4133373
-8.63;-1.4276674
-8.62;-1.4424368
-8.61;-1.4576623
-8.60;-1.4733615
-8.59;-1.4895532
-8.58;-1.5062570
-8.57;-1.5234937
-8.56;-1.5412854
-8.55;-1.5596554
-8.54;-1.5786283
-8.53;-1.5982303
-8.52;-1.6184891
-8.51;-1.6394342
-8.50;-1.6610967
-8.49;-1.6835100
-8.48;-1.7067094
-8.47;-1.7307326
-8.46;-1.7556199
-8.45;-1.7814140
-8.44;-1.8081609
-8.43;-1.8359097
-8.42;-1.8647127
-8.41;-1.8946264
-8.40;-1.9257112
-8.39;-1.9580322
-8.38;-1.9916591
-8.37;-2.0266674
-8.36;-2.0631385
-8.35;-2.1011602
-8.34;-2.1408278
-8.33;-2.1822443
-8.32;-2.2255219
-8.31;-2.2707824
-8.30;-2.3181587
-8.29;-2.3677958
-8.28;-2.4198524
-8.27;-2.4745025
-8.26;-2.5319370
-8.25;-2.5923664
-8.24;-2.6560230
-8.23;-2.7231637
-8.22;-2.7940735
-8.21;-2.8690696
-8.20;-2.9485056
-8.19;-3.0327775
-8.18;-3.1223297
-8.17;-3.2176630
-8.16;-3.3193436
-8.15;-3.4280142
-8.14;-3.5444076
-8.13;-3.6693626
-8.12;-3.8038441
-8.11;-3.9489681
-8.10;-4.1060316
-8.09;-4.2765520
-8.08;-4.4623147
-8.07;-4.6654361
-8.06;-4.8884434
-8.05;-5.1343796
-8.04;-5.4069419
-8.03;-5.7106681
-8.02;-6.0511889
-8.01;-6.4355789
-8.00;-6.8728506
-7.99;-7.3746671
-7.98;-7.9563933
-7.97;-8.6386918
-7.96;-9.4500209
-7.95;-10.4306945
-7.94;-11.6397730
-7.93;-13.1673941
-7.92;-15.1583087
-7.91;-17.8606281
-7.90;-21.7381259
-7.89;-27.7696177
-7.88;-38.4387257
-7.87;-62.4310098
-7.86;-166.1590592
-7.85;251.1538350
-7.84;71.5247291
-7.83;41.7025738
-7.82;29.4333252
-7.81;22.7440952
-7.80;18.5338190
-7.79;15.6401539
-7.78;13.5292064
-7.77;11.9213738
-7.76;10.6560566
-7.75;9.6344351
-7.74;8.7923690
-7.73;8.0864115
-7.72;7.4860867
-7.71;6.9693854
-7.70;6.5200158
-7.69;6.1256602
-7.68;5.7768328
-7.67;5.4661103
-7.66;5.1876000
-7.65;4.9365648
-7.64;4.7091533
-7.63;4.5022017
-7.62;4.3130872
-7.61;4.1396170
-7.60;3.9799436
-7.59;3.8324996
-7.58;3.6959464
-7.57;3.5691339
-7.56;3.4510686
-7.55;3.3408876
-7.54;3.2378381
-7.53;3.1412603
-7.52;3.0505732
-7.51;2.9652636
-7.50;2.8848763
-7.49;2.8090059
-7.48;2.7372906
-7.47;2.6694064
-7.46;2.6050619
-7.45;2.5439947
-7.44;2.4859680
-7.43;2.4307669
-7.42;2.3781967
-7.41;2.3280802
-7.40;2.2802556
-7.39;2.2345753
-7.38;2.1909041
-7.37;2.1491179
-7.36;2.1091027
-7.35;2.0707538
-7.34;2.0339742
-7.33;1.9986748
-7.32;1.9647728
-7.31;1.9321917
-7.30;1.9008606
-7.29;1.8707134
-7.28;1.8416888
-7.27;1.8137297
-7.26;1.7867828
-7.25;1.7607984
-7.24;1.7357301
-7.23;1.7115342
-7.22;1.6881702
-7.21;1.6655997
-7.20;1.6437870
-7.19;1.6226985
-7.18;1.6023023
-7.17;1.5825688
-7.16;1.5634700
